Token ID,Bullish Bear Rating,Vessel Type,Vessel Frequency,Class,Class Frequency,Weapon,Weapon Frequency,Secondary Weapon,Secondary Frequency,Shield,Shield Frequency,Propulsion,Propulsion Frequency,Material,Material Frequency,Extra,Extra Frequency
22,763,Transport Ship,346,Incheon,306,Anti-gravitational The Powerful Pulse Canon of Pisces +1,6,Rail Gun,551,Quasar,728,Nuclear Fusion,365,Adamantium,407,Anti-gravitational The Tyrant Tractor Beam of Pisces +1,4
23,2288,Battleship,328,Enterprise,319,Plasma Beam,578,Electromagnetic Pulse Bomb,560,Quantum,709,Einstein-Rosen The Indestructable Magnetic Sail of Gemini +1,5,Tungsten Carbide,571,Disco Light,960
24,4951,Frigate of Cancer,11,Koni of Wolf 1961,16,Electron Beam,525,Electromagnetic Pulse Bomb of Cancer,79,Electromagnetic,678,Alcubierre Drive,378,Polystyrene,404,Disco Light,960
25,4610,Tanker of Sagittarius,5,Kongo,307,Proton Beam,567,Kinetic Energy Blast,610,Plasma,737,Nuclear Pulse,390,Vibranium,377,Cocktail Bar,978
26,6714,Dreadnought,350,Koni,292,Particle Beam of Pisces,34,Rail Gun,551,Gamma,755,Solid Fuel Rocket,353,Vibranium of Cancer,35,Killer Drone,962
27,583,Tanker,343,Dolphin of Tau Ceti,25,Proton Beam,567,Galactic The Tyrant Photon Torpedo of Wolf 1961,4,Electromagnetic,678,Kryptonite Thruster of Sagittarius,66,Lightning Deluxe Twin Bed Glass of Virgo +1,3,Escape Pod of Libra,71
28,7713,Battleship,328,Rutherford,352,Photon Beam,588,Kinetic Energy Blast of Libra,69,Quasar,728,Nuclear Fusion,365,Tungsten Carbide,571,Tractor Beam,917
29,5074,Battleship of Aquarius,6,Arleigh Burke,327,Electron Beam of Libra,78,Hydrogen Bomb,569,Gamma,755,Alcubierre Drive,378,Copper,402,Warp Core,962
30,2574,Transport Ship,346,Ticonderoga,302,Pulse Canon,612,Hydrogen Bomb,569,Anti-gravitational The Indestructable Gravitational of Pisces +1,2,Solid Fuel Rocket,353,Polystyrene,404,Warp Core of Libra,67
31,5989,Transport Ship,346,Rutherford,352,Electron Beam,525,Positron Torpedo of Capricorn,64,Dark Energy of Cancer,17,Nuclear Pulse,390,Adamantium,407,Escape Pod,930
32,5538,Battleship,328,Cavour of Wolf 1961,10,Starburst Stream,610,Kinetic Energy Blast,610,Gravitational,689,Fusion-Fragment,354,Gold,559,Disco Light of Wolf 1961,45
33,2936,Minesweeper of Gliese 667C,5,Soryu,338,Starburst Stream of Aquarius,41,Positron Torpedo,576,Plasma,737,Antimatter Rocket of Aries,162,Polystyrene,404,Quantum Voyager Killer Drone of Scorpio,6
34,1442,Courier,326,Rutherford,352,Starburst Stream,610,Subatomic The Powerful Kinetic Energy Blast of Taurus,2,Plasma of Leo,12,Ion Thruster,386,Diamond,387,Quantum The Benevolent Disco Light of Scorpio,4
35,5322,Battleship,328,Brandenburg of Pisces,17,Soliton Canon,568,Spatial Torpedo,608,Gamma,755,Nuclear Fusion,365,Carbon Fibre of Taurus,28,Tractor Beam of Gliese 667C,43
36,4118,Dreadnought,350,Dolphin,345,Proton Beam,567,Gravimetric Torpedo of Taurus,42,Plasma,737,Light Sail,370,Galactic Adventurer Adamantium of Wolf 1961,3,Cocktail Bar,978
37,4840,Transport Ship of Cancer,11,Liaoning of Cancer,22,Gravity Canon,567,Photon Torpedo,582,Dark Energy of Tau Ceti,22,Nuclear Pulse,390,Tungsten Carbide,571,Disco Light,960
38,446,Carrier,289,Einstein-Rosen Deluxe Twin Bed Soryu of Gemini +1,2,Electron Beam,525,Kinetic Energy Blast,610,Gravitational,689,Nuclear Pulse of Aquarius,79,Overclocked The Tyrant Diamond of Sagittarius +1,5,Disco Light of Taurus,43
39,1298,Science Vessel,336,Brandenburg,320,Starburst Stream,610,Subatomic Catastrophe Gravimetric Torpedo of Taurus,5,Electromagnetic,678,Kryptonite Thruster,405,Overclocked The Powerful Glass of Sagittarius +1,3,Warp Core,962
40,7367,Battleship,328,Kongo,307,Particle Beam,574,Spatial Torpedo,608,Dark Energy,707,Fission-Fragment,352,Titanium of Capricorn,44,Tractor Beam,917
41,5257,Destroyer of Aquarius,10,Nimitz,316,Tetryon Canon,578,Positron Torpedo,576,Quasar,728,Nuclear Pulse of Aquarius,79,Gold,559,Warp Core of Cancer,74
42,2882,Subatomic Ultimatum Minelayer of Taurus,1,Liaoning,323,Tetryon Canon,578,Positron Torpedo of Capricorn,64,Quasar,728,Magnetoplasmadynamic Thruster,400,Glass,349,Cocktail Bar,978
43,5389,Tanker,343,Brandenburg,320,Starburst Stream of Aquarius,41,Rail Gun,551,Quasar of Scorpio,9,Solid Fuel Rocket,353,Silicon Carbide,352,Disco Light,960
44,7313,Cargo,327,Soryu,338,Plasma Beam,578,Spatial Torpedo of Tau Ceti,99,Quantum,709,Light Sail,370,Vibranium of Cancer,35,Escape Pod,930
45,5664,Minelayer,350,Enterprise,319,Electron Beam,525,Kinetic Energy Blast of Taurus,42,Gravitational of Leo,12,Nuclear Fusion,365,Gold,559,Warp Core,962
46,4671,Tug of Aquarius,6,Nimitz,316,Soliton Canon,568,Spatial Torpedo,608,Plasma,737,Kryptonite Thruster,405,Titanium of Aries,39,Disco Light of Wolf 1961,45
47,1951,Carrier,289,Einstein-Rosen The Destroyer Missouri of Gemini +1,1,Gravity Canon,567,Rail Gun,551,Nuclear,711,Magnetic Sail,378,Carbon Fibre,379,Killer Drone of Scorpio,45
48,7156,Scout Ship,335,Virginia,305,Particle Beam,574,Gravimetric Torpedo,540,Nuclear,711,Magnetic Sail,378,Graphene of Pisces,39,Tractor Beam,917
49,953,Frigate,328,Anti-gravitational Havoc Virginia of Pisces +1,3,Electron Beam,525,Spatial Torpedo,608,Galactic Catastrophe Gravitational of Wolf 1961,1,Nuclear Pulse,390,Adamantium,407,Cocktail Bar,978
50,5754,Tug,343,Missouri,309,Starburst Stream,610,Electromagnetic Pulse Bomb,560,Quasar of Cancer,15,Infinite Improbability Drive,354,Copper,402,Killer Drone,962
51,5454,Minesweeper of Cancer,11,Dolphin,345,Plasma Beam,578,Gravimetric Torpedo,540,Gravitational,689,Alcubierre Drive,378,Glass,349,Escape Pod,930
52,6419,Cruiser,363,Virginia,305,Gravity Canon,567,Photon Torpedo,582,Electromagnetic,678,Ion Thruster,386,Adamantium,407,Tractor Beam,917
53,3813,Cargo,327,Kongo,307,Plasma Beam,578,Photon Torpedo,582,Quasar,728,Flaming The Benevolent Fission-Electric of Gliese 667C +1,8,Adamantium,407,Disco Light,960
54,7796,Scout Ship,335,Brandenburg,320,Particle Beam,574,Fractional Orbital Bombardment of Capricorn,80,Gamma,755,Magnetoplasmadynamic Thruster,400,Vibranium,377,Escape Pod,930
55,5839,Frigate,328,Nimitz of Aries,19,Gravity Canon,567,Hydrogen Bomb,569,Gravitational,689,Fission-Fragment of Capricorn,172,Glass,349,Escape Pod of Libra,71
56,5474,Destroyer of Capricorn,13,Incheon of Tau Ceti,19,Particle Beam,574,Hydrogen Bomb,569,Plasma,737,Ion Thruster,386,Adamantium,407,Warp Core,962
57,6398,Battleship,328,Enterprise,319,Proton Beam,567,Hydrogen Bomb,569,Quasar,728,Fission-Electric,407,Diamond,387,Disco Light,960
58,5557,Medical,325,Soryu,338,Starburst Stream,610,Fractional Orbital Bombardment,585,Dark Energy of Leo,12,Nuclear Pulse,390,Graphene,349,Tractor Beam of Sagittarius,29
59,2930,Minesweeper,339,Nimitz,316,Plasma Beam,578,Rail Gun,551,Quantum,709,Flaming Catastrophe Fission-Electric of Gliese 667C +1,9,Titanium,382,Escape Pod,930
60,2907,Tanker of Leo,9,Arleigh Burke,327,Doomsday Havoc Particle Beam of Leo,4,Thermonuclear Bomb of Tau Ceti,60,Gamma,755,Fusion-Fragment,354,Graphene,349,Tractor Beam of Virgo,31
61,2804,Minelayer,350,Missouri of Sagittarius,11,Tetryon Canon,578,Hydrogen Bomb,569,Quasar,728,Magnetoplasmadynamic Thruster,400,Glass,349,Overclocked The Indestructable Tractor Beam of Sagittarius +1,3
62,3559,Tanker of Gemini,2,Dolphin,345,Soliton Canon,568,Fractional Orbital Bombardment,585,Plasma,737,Light Sail,370,Gold,559,Killer Drone,962
63,1305,Galactic Deluxe Twin Bed Cruiser of Wolf 1961,1,Liaoning of Libra,30,Gravity Canon,567,Gravimetric Torpedo,540,Quasar,728,Subatomic The Powerful Light Sail of Taurus,18,Vibranium,377,Escape Pod,930
64,3318,Frigate,328,Nimitz,316,Soliton Canon,568,Hydrogen Bomb,569,Doomsday Voyager Nuclear of Leo,2,Ion Thruster,386,Diamond,387,Cocktail Bar,978
65,7631,Cruiser,363,Incheon,306,Photon Beam,588,Kinetic Energy Blast of Libra,69,Quasar,728,Light Sail,370,Carbon Fibre,379,Cocktail Bar,978
66,4771,Scout Ship,335,Kirov,314,Electron Beam,525,Kinetic Energy Blast,610,Dark Energy,707,Galactic The Tyrant Ion Thruster of Wolf 1961,7,Gold,559,Cocktail Bar,978
67,7228,Scout Ship,335,Kongo,307,Photon Beam,588,Photon Torpedo of Virgo,38,Nuclear,711,Kryptonite Thruster,405,Polystyrene,404,Warp Core of Tau Ceti,79
68,4443,Tanker,343,Virginia of Pisces,13,Subatomic Deluxe Twin Bed Electron Beam of Taurus,5,Spatial Torpedo,608,Quasar,728,Fusion-Fragment,354,Tungsten Carbide,571,Warp Core,962
69,5905,Carrier,289,Enterprise of Cancer,29,Electron Beam,525,Positron Torpedo,576,Nuclear,711,Fission-Electric of Gliese 667C,68,Silicon Carbide of Aquarius,52,Warp Core,962
70,1129,Dreadnought,350,Admiral Kuznetsov,328,Pulse Canon,612,Positron Torpedo,576,Overclocked Havoc Quasar of Sagittarius +1,2,Fusion-Electric of Libra,158,Subatomic The Tyrant Wooden of Taurus,8,Disco Light,960
71,3596,Courier,326,Barracuda,297,Galactic The Benevolent Gravity Canon of Wolf 1961,6,Gravimetric Torpedo,540,Quantum,709,Infinite Improbability Drive,354,Diamond,387,Tractor Beam,917
72,800,Supply Ship,359,Anti-gravitational Havoc Ticonderoga of Pisces +1,1,Electron Beam,525,Photon Torpedo,582,Doomsday Voyager Electromagnetic of Leo,1,Light Sail,370,Vibranium,377,Tractor Beam,917
73,5673,Tug,343,Soryu,338,Plasma Beam,578,Thermonuclear Bomb,514,Plasma of Aries,10,Antimatter Rocket of Aries,162,Polystyrene,404,Killer Drone,962
74,5335,Frigate,328,Arleigh Burke,327,Soliton Canon of Gemini,44,Rail Gun,551,Electromagnetic of Pisces,13,Ion Thruster,386,Polystyrene,404,Escape Pod of Libra,71
75,2148,Carrier of Tau Ceti,11,Liaoning,323,Photon Beam,588,Spatial Torpedo of Tau Ceti,99,Lightning The Powerful Gamma of Virgo +1,2,Ion Thruster,386,Tungsten Carbide,571,Killer Drone,962
76,7751,Minesweeper,339,Liaoning,323,Plasma Beam,578,Electromagnetic Pulse Bomb,560,Gravitational,689,Alcubierre Drive,378,Tungsten Carbide,571,Escape Pod of Cancer,76
77,1188,Scout Ship,335,Liaoning of Cancer,22,Soliton Canon,568,Electromagnetic Pulse Bomb,560,Quasar,728,Infinite Improbability Drive,354,Einstein-Rosen Deluxe Twin Bed Diamond of Gemini +1,3,Subatomic Havoc Disco Light of Taurus,6
78,6415,Frigate,328,Dolphin,345,Soliton Canon,568,Photon Torpedo,582,Quantum,709,Light Sail,370,Adamantium,407,Warp Core,962
79,7252,Cargo,327,Cavour,328,Tetryon Canon of Aquarius,37,Electromagnetic Pulse Bomb,560,Dark Energy,707,Nuclear Pulse of Aquarius,79,Graphene,349,Disco Light,960
80,1775,Frigate,328,Missouri,309,Particle Beam of Tau Ceti,74,Positron Torpedo of Scorpio,45,Nuclear,711,Light Sail,370,Einstein-Rosen The Tyrant Glass of Gemini +1,1,Killer Drone,962
81,2765,Scout Ship of Pisces,7,Koni,292,Starburst Stream,610,Photon Torpedo,582,Supercosmic Deluxe Twin Bed Quasar of Aquarius,1,Fission-Fragment,352,Gold,559,Disco Light,960
82,6325,Minesweeper,339,Virginia,305,Particle Beam,574,Electromagnetic Pulse Bomb,560,Electromagnetic,678,Kryptonite Thruster,405,Copper,402,Tractor Beam,917
83,1424,Einstein-Rosen The Indestructable Tanker of Gemini +1,1,Koni,292,Photon Beam of Capricorn,79,Photon Torpedo,582,Quasar of Capricorn,25,Nuclear Fusion,365,Diamond,387,Killer Drone of Scorpio,45
84,4847,Science Vessel,336,Soryu of Sagittarius,13,Proton Beam,567,Electromagnetic Pulse Bomb,560,Electromagnetic of Gemini,15,Fusion-Electric,384,Carbon Fibre of Taurus,28,Cocktail Bar,978
85,47,Carrier,289,Brandenburg,320,Flaming Havoc Proton Beam of Gliese 667C +1,8,Kinetic Energy Blast of Gliese 667C,57,Lightning Ultimatum Plasma of Virgo +1,3,Solid Fuel Rocket of Cancer,147,Einstein-Rosen Havoc Diamond of Gemini +1,7,Warp Core,962
86,4389,Minesweeper,339,Virginia,305,Proton Beam of Libra,76,Supercosmic Havoc Electromagnetic Pulse Bomb of Aquarius,5,Plasma,737,Nuclear Fusion of Pisces,74,Vibranium,377,Disco Light,960
87,6292,Dreadnought,350,Arleigh Burke,327,Proton Beam,567,Rail Gun,551,Electromagnetic,678,Kryptonite Thruster,405,Graphene,349,Cocktail Bar,978
88,7630,Dreadnought,350,Rutherford,352,Particle Beam of Tau Ceti,74,Rail Gun of Cancer,73,Gamma,755,Nuclear Pulse,390,Polystyrene,404,Cocktail Bar,978
89,1963,Minesweeper of Capricorn,11,Arleigh Burke,327,Pulse Canon of Pisces,40,Anti-gravitational The Benevolent Spatial Torpedo of Pisces +1,4,Gamma of Capricorn,20,Magnetoplasmadynamic Thruster,400,Adamantium,407,Escape Pod,930
90,1294,Cruiser of Capricorn,6,Nimitz,316,Soliton Canon,568,Hydrogen Bomb,569,Lightning The Tyrant Quantum of Virgo +1,1,Fission-Fragment,352,Tungsten Carbide,571,Killer Drone of Wolf 1961,38
91,6656,Scout Ship,335,Liaoning,323,Plasma Beam of Wolf 1961,38,Electromagnetic Pulse Bomb of Aquarius,29,Plasma,737,Infinite Improbability Drive,354,Copper,402,Cocktail Bar,978
92,4751,Courier,326,Missouri,309,Photon Beam,588,Positron Torpedo of Gemini,39,Gamma,755,Magnetic Sail of Gemini,92,Beryllium of Libra,48,Killer Drone of Taurus,27
93,7173,Frigate,328,Arleigh Burke,327,Pulse Canon of Pisces,40,Hydrogen Bomb,569,Plasma,737,Nuclear Fusion,365,Adamantium,407,Cocktail Bar,978
94,2346,Courier of Gliese 667C,5,Incheon,306,Gravity Canon,567,Anti-gravitational The Destroyer Thermonuclear Bomb of Pisces +1,5,Gamma of Virgo,11,Magnetic Sail,378,Glass,349,Killer Drone,962
95,5477,Cruiser,363,Enterprise of Libra,35,Plasma Beam,578,Fractional Orbital Bombardment,585,Plasma of Sagittarius,10,Fusion-Fragment,354,Tungsten Carbide,571,Killer Drone,962
96,3172,Tanker,343,Arleigh Burke,327,Gravity Canon,567,Spatial Torpedo of Tau Ceti,99,Electromagnetic of Wolf 1961,10,Alcubierre Drive,378,Silicon Carbide,352,Flaming The Benevolent Cocktail Bar of Gliese 667C +1,8
97,6789,Cruiser,363,Barracuda,297,Tetryon Canon,578,Electromagnetic Pulse Bomb,560,Quasar of Aries,24,Infinite Improbability Drive of Virgo,83,Glass,349,Disco Light,960
98,7681,Courier,326,Koni,292,Proton Beam of Libra,76,Fractional Orbital Bombardment,585,Gravitational,689,Ion Thruster,386,Glass,349,Escape Pod,930
99,1872,Minesweeper,339,Kirov,314,Anti-gravitational Catastrophe Particle Beam of Pisces +1,4,Spatial Torpedo,608,Quantum of Pisces,10,Infinite Improbability Drive,354,Graphene of Sagittarius,36,Disco Light,960
100,3406,Dreadnought,350,Missouri,309,Electron Beam of Taurus,46,Fractional Orbital Bombardment of Capricorn,80,Quasar,728,Light Sail,370,Graphene,349,Subatomic Voyager Killer Drone of Taurus,2
101,1704,Flaming The Indestructable Supply Ship of Gliese 667C +1,1,Brandenburg,320,Particle Beam,574,Electromagnetic Pulse Bomb,560,Quasar,728,Fission-Electric,407,Diamond,387,Cocktail Bar,978
102,7047,Minesweeper,339,Enterprise,319,Tetryon Canon,578,Photon Torpedo of Wolf 1961,34,Quasar,728,Kryptonite Thruster,405,Tungsten Carbide,571,Escape Pod of Libra,71
103,6879,Tanker,343,Ticonderoga,302,Soliton Canon of Capricorn,78,Photon Torpedo,582,Electromagnetic,678,Magnetoplasmadynamic Thruster,400,Copper of Libra,27,Tractor Beam,917
104,1867,Supply Ship,359,Soryu,338,Gravity Canon,567,Galactic Adventurer Photon Torpedo of Wolf 1961,5,Gravitational of Tau Ceti,17,Supercosmic The Destroyer Nuclear Pulse of Aquarius,10,Vibranium,377,Cocktail Bar,978
105,2512,Carrier,289,Galactic The Benevolent Arleigh Burke of Wolf 1961,1,Plasma Beam,578,Kinetic Energy Blast,610,Nuclear,711,Light Sail,370,Vibranium,377,Tractor Beam,917
106,4112,Medical,325,Admiral Kuznetsov,328,Soliton Canon,568,Subatomic The Powerful Gravimetric Torpedo of Taurus,3,Dark Energy,707,Antimatter Rocket,395,Carbon Fibre,379,Disco Light of Taurus,43
107,2286,Science Vessel,336,Admiral Kuznetsov,328,Pulse Canon,612,Spatial Torpedo,608,Quantum,709,Lightning The Destroyer Infinite Improbability Drive of Virgo +1,5,Wooden,407,Killer Drone,962
108,6040,Minelayer,350,Admiral Kuznetsov of Aries,27,Plasma Beam of Aries,65,Rail Gun,551,Electromagnetic,678,Fusion-Electric of Libra,158,Vibranium,377,Disco Light,960
109,1575,Dreadnought of Cancer,8,Brandenburg,320,Flaming Havoc Proton Beam of Gliese 667C +1,8,Photon Torpedo,582,Quantum,709,Nuclear Pulse of Aquarius,79,Glass,349,Warp Core of Cancer,74
110,901,Doomsday Voyager Transport Ship of Leo,1,Arleigh Burke,327,Einstein-Rosen The Destroyer Photon Beam of Gemini +1,8,Kinetic Energy Blast,610,Gamma of Virgo,11,Nuclear Pulse,390,Titanium,382,Warp Core,962
111,7137,Scout Ship,335,Barracuda,297,Particle Beam,574,Rail Gun of Sagittarius,40,Plasma,737,Magnetoplasmadynamic Thruster,400,Silicon Carbide,352,Escape Pod,930
112,3561,Cargo,327,Koni of Taurus,14,Photon Beam,588,Gravimetric Torpedo,540,Doomsday Ultimatum Plasma of Leo,2,Fission-Electric,407,Beryllium,383,Disco Light,960
113,3252,Science Vessel,336,Liaoning,323,Soliton Canon,568,Anti-gravitational The Benevolent Spatial Torpedo of Pisces +1,4,Nuclear,711,Antimatter Rocket,395,Beryllium of Tau Ceti,40,Warp Core,962
114,1964,Lightning Voyager Courier of Virgo +1,1,Dolphin,345,Pulse Canon,612,Photon Torpedo,582,Quasar,728,Fission-Electric,407,Silicon Carbide of Aquarius,52,Killer Drone,962
115,2789,Transport Ship of Libra,13,Incheon,306,Subatomic The Indestructable Electron Beam of Taurus,3,Thermonuclear Bomb of Tau Ceti,60,Gamma,755,Fusion-Electric,384,Copper of Capricorn,36,Tractor Beam,917
116,5931,Medical,325,Rutherford,352,Starburst Stream of Aquarius,41,Photon Torpedo of Virgo,38,Quantum,709,Fission-Fragment,352,Polystyrene,404,Warp Core of Tau Ceti,79
117,5669,Cruiser,363,Kirov of Wolf 1961,12,Particle Beam,574,Spatial Torpedo of Pisces,40,Quasar,728,Fission-Electric,407,Polystyrene,404,Tractor Beam,917
118,4224,Frigate,328,Doomsday The Destroyer Koni of Leo,3,Particle Beam,574,Photon Torpedo,582,Plasma,737,Antimatter Rocket of Aries,162,Graphene,349,Warp Core,962
119,5646,Courier,326,Soryu of Sagittarius,13,Electron Beam,525,Fractional Orbital Bombardment,585,Nuclear,711,Fusion-Electric,384,Wooden,407,Escape Pod,930
120,6008,Courier,326,Dolphin of Aries,20,Plasma Beam,578,Photon Torpedo,582,Gravitational,689,Nuclear Pulse,390,Graphene,349,Disco Light,960
121,3218,Scout Ship,335,Liaoning,323,Electron Beam of Taurus,46,Kinetic Energy Blast,610,Quantum,709,Magnetic Sail,378,Polystyrene of Sagittarius,37,Doomsday The Powerful Killer Drone of Leo,5
122,2327,Frigate,328,Enterprise,319,Plasma Beam,578,Photon Torpedo,582,Supercosmic Catastrophe Quantum of Aquarius,2,Magnetic Sail,378,Gold,559,Tractor Beam,917
123,7123,Scout Ship,335,Barracuda,297,Proton Beam of Gliese 667C,38,Kinetic Energy Blast,610,Dark Energy,707,Magnetic Sail,378,Gold,559,Warp Core,962
124,530,Frigate,328,Barracuda of Leo,16,Proton Beam,567,Einstein-Rosen Adventurer Positron Torpedo of Gemini +1,4,Electromagnetic,678,Nuclear Pulse of Aquarius,79,Wooden,407,Overclocked The Destroyer Tractor Beam of Sagittarius +1,6
125,3634,Dreadnought,350,Cavour,328,Particle Beam of Leo,49,Spatial Torpedo,608,Nuclear,711,Overclocked The Indestructable Kryptonite Thruster of Sagittarius +1,8,Silicon Carbide of Aquarius,52,Tractor Beam,917
126,3758,Scout Ship of Leo,5,Incheon,306,Plasma Beam,578,Gravimetric Torpedo,540,Nuclear,711,Fission-Electric,407,Supercosmic The Indestructable Adamantium of Aquarius,6,Disco Light of Leo,34
127,1536,Battleship,328,Doomsday Adventurer Kirov of Leo,2,Tetryon Canon,578,Electromagnetic Pulse Bomb of Sagittarius,40,Electromagnetic,678,Subatomic The Powerful Light Sail of Taurus,18,Glass,349,Warp Core,962
128,3352,Cruiser,363,Subatomic Havoc Barracuda of Taurus,2,Gravity Canon of Wolf 1961,27,Spatial Torpedo,608,Electromagnetic,678,Fusion-Fragment of Scorpio,62,Titanium,382,Disco Light,960
129,1549,Scout Ship of Scorpio,3,Overclocked The Powerful Soryu of Sagittarius +1,1,Particle Beam,574,Spatial Torpedo,608,Nuclear of Cancer,18,Kryptonite Thruster,405,Glass,349,Disco Light,960
130,972,Galactic Deluxe Twin Bed Transport Ship of Wolf 1961,2,Lightning Voyager Missouri of Virgo +1,2,Particle Beam,574,Fractional Orbital Bombardment,585,Electromagnetic,678,Nuclear Pulse,390,Graphene of Gliese 667C,44,Tractor Beam,917
131,5645,Science Vessel,336,Virginia of Pisces,13,Particle Beam,574,Fractional Orbital Bombardment,585,Gravitational,689,Magnetoplasmadynamic Thruster,400,Graphene,349,Cocktail Bar,978
132,7107,Transport Ship,346,Brandenburg,320,Soliton Canon,568,Photon Torpedo of Virgo,38,Dark Energy,707,Kryptonite Thruster,405,Adamantium,407,Cocktail Bar,978
133,6928,Battleship,328,Dolphin,345,Proton Beam,567,Electromagnetic Pulse Bomb of Sagittarius,40,Nuclear,711,Infinite Improbability Drive,354,Carbon Fibre of Aquarius,44,Escape Pod,930
134,6764,Minelayer,350,Admiral Kuznetsov of Tau Ceti,22,Electron Beam,525,Kinetic Energy Blast,610,Plasma,737,Infinite Improbability Drive of Virgo,83,Copper,402,Warp Core,962
135,4517,Minelayer of Aries,5,Cavour,328,Pulse Canon,612,Spatial Torpedo,608,Nuclear,711,Ion Thruster,386,Beryllium of Capricorn,42,Cocktail Bar of Gemini,44
136,7973,Cargo,327,Nimitz,316,Plasma Beam,578,Hydrogen Bomb,569,Nuclear,711,Fusion-Electric of Libra,158,Diamond,387,Killer Drone,962
